State,City,Location,location_key
Madhya Pradesh,Indore,Bhawarkuan Main Road,577
Madhya Pradesh,Indore,Gram Tejpur Gadbadi Pulia,578
Madhya Pradesh,Indore,Treasure Island Indore,579
Madhya Pradesh,Indore,Madhumilan Square,580
Madhya Pradesh,Indore,Bypass North,581
Madhya Pradesh,Indore,Old Palasia,582
Madhya Pradesh,Indore,Bicholi Mardana,583
Madhya Pradesh,Indore,SAKET SQUARE,584
Madhya Pradesh,Indore,Saket,585
Madhya Pradesh,Indore,Indore,586
Madhya Pradesh,Indore,DHENU MARKET,587
Madhya Pradesh,Indore,RNT Marg,588
Madhya Pradesh,Indore,Sheetal Nagar,589
Bihar,Patna,BAKSHI MOHALLA,590
Bihar,Patna,Kankarbagh,591
Bihar,Patna,Kumhrar,592
Bihar,Patna,Adarsh Colony,593
Bihar,Patna,Pat_Fatuha,594
Bihar,Patna,Patna City,595
Bihar,Patna,Kankarbagh ,596
Bihar,Patna,Patliputra Colony,597
Bihar,Patna,Kurji,598
Bihar,Patna,DRB- BhattaCharya Road,599
Bihar,Patna,"UNO Business Center, Patliputra",600
Bihar,Patna,P&M Mall,601
Bihar,Patna,Srikrishnapuri,602
Bihar,Patna,Sri Krishnapuri,603
Bihar,Patna,KURJI,604
Bihar,Patna,Boring Road,605
Bihar,Patna,Sri Krishna Puri,606
Bihar,Patna,Boring Canal Road,607
Bihar,Patna,ASHIYANA DIGHA ROAD,608
Bihar,Patna,Chandra Kutir Complex,609
Bihar,Patna,Vivek Vihar Colony,610
Bihar,Patna,atna Sadar,611
Bihar,Patna,Hajipur,612
Bihar,Patna,Anandpuri,613
Bihar,Patna,Vaishali,614
Bihar,Patna,Rajendra Nagar,615
Bihar,Patna,near vaishali golambar road,616
Bihar,Patna,Boring Patliputra Road,617
Odisha,Bhubaneswar,Kalinga Vihar,618
Odisha,Bhubaneswar,Patrapada,619
Odisha,Bhubaneswar,PATRAPADA,620
Odisha,Bhubaneswar,Mallick Complex,621
Odisha,Bhubaneswar,Jagmohan Nagar,622
Odisha,Bhubaneswar,Baramunda,623
Odisha,Bhubaneswar,Khandagiri,624
Odisha,Bhubaneswar,ITER Road,625
Odisha,Bhubaneswar,DN Regalia,626
Odisha,Bhubaneswar,Nayapalli,627
Odisha,Bhubaneswar,Kalinga Nagar,628
Odisha,Bhubaneswar,Patia,629
Odisha,Bhubaneswar,Baxi Bazar,630
Odisha,Bhubaneswar,CDA Sector 6,631
Odisha,Bhubaneswar,Telenga Bazar,632
Odisha,Bhubaneswar,Sutahat,633
Odisha,Bhubaneswar,College Square,634
Odisha,Bhubaneswar,Darghabazar,635
Odisha,Bhubaneswar,Khan Nagar,636
Odisha,Bhubaneswar,Cda Sector 6,637
Odisha,Bhubaneswar,Link Road,638
Odisha,Bhubaneswar,Mal Godown Market,639
Odisha,Bhubaneswar,Municipal Colony,640
Odisha,Bhubaneswar,Choudhury Bazar,641
Odisha,Bhubaneswar,Pandaba Nagar,642
Odisha,Bhubaneswar,CUTTACK,643
Odisha,Bhubaneswar,"ZOBRA,CANAL ROAD",644
Odisha,Bhubaneswar,Chandrasekharpur,645
Haryana,Gurgaon,NAJAFGARH,646
Haryana,Gurgaon,Najafgarh,647
Haryana,Gurgaon,New Palam Vihar,648
Haryana,Gurgaon,Sector 109,649
Haryana,Gurgaon,Near Shree Bikaner Sweets,650
Haryana,Gurgaon,Sector-106,651
